"국가(1)",국가(2),2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"아시아",대한민국,8.600,4.100,7.200,2.600,4.800,4.000,4.900,5.500,2.600,0.400,6.500,2.900,1.600,2.300,2.300,2.000,2.500,3.100,2.900,2.100,-0.900,4.600,2.900,1.500
"아시아",아제르바이잔,10.100,8.900,9.600,10.200,9.000,24.800,32.700,23.400,9.300,8.000,3.800,-1.100,0.900,4.400,1.400,-0.100,-4.300,-0.900,0.800,1.800,-4.900,5.100,4.000,0.900
"아시아",바레인,4.600,-2.000,-3.800,-1.400,-0.400,-0.200,-0.200,1.900,0.200,-2.900,1.800,2.500,2.900,2.000,-0.100,-1.800,-0.800,0.600,1.000,3.000,-4.700,1.300,3.000,0.300
"아시아",중국,7.700,7.600,8.400,9.400,9.500,10.700,12.000,13.600,9.000,8.700,9.900,8.900,7.100,7.000,6.700,6.400,6.200,6.300,6.200,5.600,2.100,8.400,3.000,5.400
"아시아",키프로스,4.900,2.800,2.500,1.400,3.600,3.400,3.000,2.900,1.100,-4.600,-0.400,-2.100,-4.900,-6.400,-0.700,4.000,6.100,4.800,5.000,5.200,-4.500,10.400,6.300,1.600
"아시아",조지아,4.800,7.800,7.600,12.200,6.600,10.400,10.200,13.400,3.100,-3.100,6.900,8.700,7.400,6.000,4.500,3.400,3.400,5.100,6.000,5.300,-6.300,10.900,10.800,7.100
"아시아",홍콩,6.200,-0.500,1.000,2.500,8.200,7.100,6.700,5.900,1.400,-3.100,6.200,4.200,0.900,2.200,2.000,1.700,1.600,3.300,2.500,-1.900,-6.600,6.500,-3.400,3.600
"아시아",인도,1.900,2.900,1.900,6.000,6.100,6.200,6.400,6.100,1.600,6.300,6.900,3.800,4.000,5.000,6.100,6.700,7.000,5.600,5.300,2.800,-6.700,8.800,6.100,7.200
"아시아",인도네시아,3.400,2.200,3.100,3.400,3.700,4.300,4.100,4.900,4.600,3.300,4.900,4.800,4.700,4.300,3.800,3.700,3.900,4.000,4.200,4.000,-2.900,3.000,4.500,4.200
"아시아",이란,2.600,0.400,7.100,7.200,1.200,2.000,3.900,7.600,0.100,0.800,5.600,2.500,-4.900,-2.800,3.600,-2.800,7.300,1.300,-3.100,-4.100,2.500,3.900,2.500,3.800
"아시아",이라크,-1.900,-0.800,-9.800,-35.100,49.800,-1.300,4.900,2.700,6.100,-0.400,3.000,3.800,8.900,2.700,-3.300,1.900,11.100,-4.000,0.300,4.100,-14.700,-0.700,5.200,-5.100
"아시아",이스라엘,5.700,-2.100,-2.100,-0.300,2.900,2.500,3.800,4.300,1.500,-0.500,3.700,3.600,0.600,2.200,1.800,0.300,2.400,2.400,2.300,2.000,-3.100,7.700,4.500,0.300
"아시아",일본,2.600,0.200,-0.100,1.400,2.100,1.700,1.300,1.400,-1.300,-5.700,4.100,0.100,1.500,2.200,0.500,1.700,0.800,1.800,0.800,-0.200,-3.800,3.100,1.500,2.200
"아시아",요르단,2.100,3.100,3.600,1.900,6.000,5.500,1.400,1.800,4.700,2.800,0.100,0.200,1.000,-2.600,-6.000,-5.600,-2.700,0.200,-0.300,-0.200,-2.900,1.800,0.700,1.000
"아시아",카자흐스탄,9.500,13.000,9.200,8.700,8.900,8.900,9.800,7.900,2.200,0.000,5.900,7.400,3.300,4.400,2.700,-0.300,-0.400,5.200,2.600,3.000,-3.900,2.900,1.700,2.800
"아시아",북한,-0.500,2.900,0.500,1.200,1.400,3.200,-1.500,-1.700,2.600,-1.400,-0.900,0.400,0.900,0.600,0.600,-1.600,3.400,-3.900,-4.600,-0.100,-4.900,-0.400,-0.500,2.700
"아시아",쿠웨이트,1.800,-2.400,0.400,14.500,7.800,6.700,1.700,-0.100,-3.100,-11.900,-7.300,3.000,0.100,-3.800,-3.800,-3.800,-1.400,-8.200,-1.300,-0.500,-3.900,3.200,0.600,-8.600
"아시아",키르기스스탄,4.300,4.400,-0.900,6.100,6.100,-1.000,2.400,7.900,7.800,1.800,-2.200,4.000,-1.900,9.000,2.200,3.200,3.600,4.000,2.900,3.300,-9.500,3.100,6.800,4.400
"아시아",레바논,-0.400,2.200,2.000,1.800,4.600,1.100,-0.200,7.200,7.300,8.800,6.900,-0.200,-0.200,-5.400,-7.300,-1.500,4.000,3.600,1.000,-3.800,-23.400,1.700,0.500,-1.200
"아시아",말레이시아,6.300,-1.900,2.900,3.300,4.300,3.000,3.300,4.000,2.700,-3.500,5.400,3.500,3.700,2.900,4.200,3.300,2.600,4.000,3.100,2.800,-6.700,2.100,7.400,2.400
